resolution,model_id,training_mode,status,segm_AP,segm_AP50,segm_AP75,bbox_AP,bbox_AP50,bbox_AP75,segm_precision_at_50,segm_recall_at_50,segm_f1_at_50,params_trainable,train_wall_time_sec,peak_memory_mb,inference_latency_ms_mean,inference_peak_memory_mb,inference_fps,note
512,ucn,from-scratch,missing,,,,,,,,,,,,,,,,no live 512 artifact in current tree; old multires rows depended on deleted worktree outputs; rerun required
256,ucn,from-scratch,missing,,,,,,,,,,,,,,,,no live 256 artifact in current tree; old multires rows depended on deleted worktree outputs; rerun required
1024,unet_boundary_inst,from-scratch,ok,13.598738959420482,35.05662581639955,8.709570471598202,12.628470445457992,36.63156822459644,6.288920930606583,62.91204240516814,40.0,48.905485449394796,1942594,6626.0,,,,,missing inference profile artifact; missing training peak-memory artifact
512,unet_boundary_inst,from-scratch,missing,,,,,,,,,,,,,,,,no live 512 artifact in current tree; old multires rows depended on deleted worktree outputs; rerun required
256,unet_boundary_inst,from-scratch,missing,,,,,,,,,,,,,,,,no live 256 artifact in current tree; old multires rows depended on deleted worktree outputs; rerun required
1024,unet_semantic_inst,from-scratch,ok,3.5669815078620695,4.2915603214182445,3.8041577291476685,3.3375253624592336,4.00706516903236,3.2453611066829526,65.39634146341463,4.0,7.53888059045778,1942594,2693.0,,,,,missing inference profile artifact; missing training peak-memory artifact
512,unet_semantic_inst,from-scratch,missing,,,,,,,,,,,,,,,,no live 512 artifact in current tree; old multires rows depended on deleted worktree outputs; rerun required
256,unet_semantic_inst,from-scratch,missing,,,,,,,,,,,,,,,,no live 256 artifact in current tree; old multires rows depended on deleted worktree outputs; rerun required
1024,unetpp_boundary_inst,from-scratch,ok,10.88252103749448,27.816837761222306,6.87922132794252,10.046201793113703,30.01101852170156,5.108447905084298,59.85818396690959,32.0,41.704762803303865,529026,6203.0,,,,,missing inference profile artifact; missing training peak-memory artifact
512,unetpp_boundary_inst,from-scratch,missing,,,,,,,,,,,,,,,,no live 512 artifact in current tree; old multires rows depended on deleted worktree outputs; rerun required
256,unetpp_boundary_inst,from-scratch,missing,,,,,,,,,,,,,,,,no live 256 artifact in current tree; old multires rows depended on deleted worktree outputs; rerun required
1024,uoais,from-scratch,ok,17.674261203471197,50.325490108456506,5.974250406033012,31.497176769430535,70.22123268932899,22.980574759374093,77.34751537310952,49.0,59.99371245394505,81686167,5011.0,25226.0,46.855856496840715,1976.712890625,21.342049313887276,
512,uoais,from-scratch,missing,,,,,,,,,,,,,,,,no live 512 artifact in current tree; old multires rows depended on deleted worktree outputs; rerun required
256,uoais,from-scratch,missing,,,,,,,,,,,,,,,,no live 256 artifact in current tree; old multires rows depended on deleted worktree outputs; rerun required
1024,yolov8_seg_n,fine-tuned,ok,32.23714887807943,69.1426929162449,24.833391036603846,51.322285804803926,79.03360239487688,58.37866560774587,88.68298203423399,66.0,75.67835501081895,3263811,1698.0,14745.6,19.193123690783978,806.0615234375,52.1019931987503,
512,yolov8_seg_n,fine-tuned,missing,,,,,,,,,,,,,,,,no live 512 artifact in current tree; old multires rows depended on deleted worktree outputs; rerun required
256,yolov8_seg_n,fine-tuned,missing,,,,,,,,,,,,,,,,no live 256 artifact in current tree; old multires rows depended on deleted worktree outputs; rerun required
1024,yolov8_seg_s,fine-tuned,ok,36.44987629678065,75.08201314809267,31.56061325480245,56.84994425508489,81.73898746594345,65.28557435342506,94.03108238206575,72.0,81.55386129362532,11790483,1711.0,19353.6,16.054181717336178,852.22314453125,62.28906696129804,
512,yolov8_seg_s,fine-tuned,missing,,,,,,,,,,,,,,,,no live 512 artifact in current tree; old multires rows depended on deleted worktree outputs; rerun required
256,yolov8_seg_s,fine-tuned,missing,,,,,,,,,,,,,,,,no live 256 artifact in current tree; old multires rows depended on deleted worktree outputs; rerun required
1024,yolov8_seg_m,fine-tuned,ok,40.07913187066714,77.55991849378675,39.18043006704371,60.89017253313263,83.06632888301331,68.913922957559,95.49416655491486,75.0,84.01533772490414,27240227,1718.0,22732.8,18.03273068740964,929.595703125,55.454718275041664,
512,yolov8_seg_m,fine-tuned,missing,,,,,,,,,,,,,,,,no live 512 artifact in current tree; old multires rows depended on deleted worktree outputs; rerun required
256,yolov8_seg_m,fine-tuned,missing,,,,,,,,,,,,,,,,no live 256 artifact in current tree; old multires rows depended on deleted worktree outputs; rerun required
1024,yolov8_seg_l,fine-tuned,ok,40.562578240706806,78.60876460368192,39.873951651597665,61.73312828367416,83.2272400953458,70.21456341875086,95.8427413999203,76.0,84.77574655821128,45936819,1739.0,26726.4,24.498519841581583,932.13818359375,40.818792582835556,
512,yolov8_seg_l,fine-tuned,missing,,,,,,,,,,,,,,,,no live 512 artifact in current tree; old multires rows depended on deleted worktree outputs; rerun required
256,yolov8_seg_l,fine-tuned,missing,,,,,,,,,,,,,,,,no live 256 artifact in current tree; old multires rows depended on deleted worktree outputs; rerun required
1024,yolov8_seg_x,fine-tuned,ok,40.32417927420629,78.75711660779395,38.7891853065817,61.98944165648903,83.32176569671678,70.87410702027874,95.20833333333333,77.0,85.14154367287684,71751811,1822.0,28569.6,23.65034868940711,1019.95068359375,42.28267469256788,
512,yolov8_seg_x,fine-tuned,missing,,,,,,,,,,,,,,,,no live 512 artifact in current tree; old multires rows depended on deleted worktree outputs; rerun required
256,yolov8_seg_x,fine-tuned,missing,,,,,,,,,,,,,,,,no live 256 artifact in current tree; old multires rows depended on deleted worktree outputs; rerun required
